"date","co_ppb","so2_ppb","noy_ppb","o3_ppb","no_ppb","no2_ppb","nox_ppb","stack_flag"
2022-06-16 09:00:00,82.325022,0.981111110722222,0.628542222611111,22.5570418888889,-0.00167902779722222,0.118320972202778,0.116641944405556,0
2022-06-16 10:00:00,81.8403586666667,0.983287047222222,0.618665509444444,20.8580701111111,-0.0157287037611111,0.104271296238889,0.0885425924777778,0
2022-06-16 11:00:00,81.2223532758621,0.963242332183908,0.61654334137931,23.3073669827586,0.00536566084568966,0.12536566084569,0.130731321691379,0
2022-06-16 12:00:00,81.6203635,1.03007407638889,0.606624629444444,22.03462705,0.00688305574344445,0.126883055743444,0.133766111486889,0
2022-06-16 13:00:00,81.2980566666667,1.02812499638889,0.576577313888889,23.9410486944444,0.0140752315944444,0.134075231594444,0.148150463188889,0
2022-06-16 14:00:00,80.6029546666667,1.06226852111111,0.615099536388889,29.3610437777778,0.0129113425972222,0.132911342597222,0.145822685194444,0
2022-06-16 15:00:00,80.8969808333333,1.05331017777778,0.703622453888889,27.8099996111111,0.0497134259916667,0.169713425991667,0.219426851983333,0
2022-06-16 16:00:00,80.3918007407407,1.05755555694444,0.817296530055556,30.4451078833333,0.0387493518872222,0.158749351887222,0.197498703774444,0
2022-06-16 17:00:00,80.8540605,1.0846759175,0.692722216666667,31.3417782777778,0.017568749875,0.137568749875,0.15513749975,0
2022-06-16 18:00:00,81.0819955,1.07032406944444,NA,29.0368218611111,-0.0151083333055556,0.104891666694444,0.0897833333888889,0
2022-06-16 19:00:00,81.321893,1.05401851,NA,26.4380045444444,-0.0121465276111111,0.107853472388889,0.0957069447777778,0
2022-06-16 20:00:00,82.0468872881356,1.10222691581921,NA,25.2499958870056,-0.054043455819209,0.0659565441807909,0.0119130883615819,0
2022-06-16 21:00:00,82.9782525,1.10040741055556,NA,25.1729172833333,-0.0269824074277778,0.0930175925722222,0.0660351851444444,0
2022-06-16 22:00:00,84.0177446296296,1.07956788796296,NA,26.2676202777778,-0.00238060702037037,0.11761939297963,0.115238785959259,0
2022-06-16 23:00:00,85.1153951666667,1.06695834138889,NA,27.0027278722222,-0.0173021758611111,0.102697824138889,0.0853956482777778,0
2022-06-17 00:00:00,86.4906016666667,1.06425925972222,NA,27.6799459444444,-0.00433912041666667,0.115660879583333,0.111321759166667,0
2022-06-17 01:00:00,86.5891178333333,1.10225001,NA,27.85358255,-0.00995439844444444,0.110045601555556,0.100091203111111,0
2022-06-17 02:00:00,86.7046786538462,1.15854700929487,NA,27.4733837820513,-0.0118183759294872,0.108181624070513,0.0963632481410256,0
2022-06-17 03:00:00,87.382498,1.09492424969697,NA,26.3064949909091,-0.0214798990454545,0.0985201009545454,0.0770402019090909,0
2022-06-17 04:00:00,89.1250078333333,1.12980092788889,NA,24.2163947888889,-0.0174271759611111,0.102572824038889,0.0851456480777778,0
2022-06-17 05:00:00,90.9719133333333,1.09126850777778,NA,22.5959237777778,-0.00223874971666667,0.117761250283333,0.115522500566667,0
2022-06-17 06:00:00,91.9480438333333,1.14812498972222,NA,21.4547656666667,-0.0103462963611111,0.109653703638889,0.0993074072777778,0
2022-06-17 07:00:00,91.9474965,1.19259259,NA,22.2056099444444,-0.0149260204081633,0.105073979591837,0.0901479591836735,0
2022-06-17 08:00:00,91.8396131666667,1.19267593055556,NA,23.4466739388889,-0.01024476844,0.10975523156,0.09951046312,0
2022-06-17 09:00:00,90.2895363157895,1.16391325584795,NA,26.960086374269,0.0131172026567251,0.133117202656725,0.14623440531345,0
2022-06-17 10:00:00,88.9301315,1.20376851222222,NA,28.7088211722222,0.0344656019813889,0.154465601981389,0.188931203962778,0
2022-06-17 11:00:00,87.3949596666667,1.22988426861111,NA,30.39533595,0.0989840288536111,0.218984028853611,0.317968057707222,0
2022-06-17 12:00:00,86.3709505,1.24976852222222,NA,31.6657853611111,0.133088657547222,0.253088657547222,0.386177315094444,0
2022-06-17 13:00:00,86.5382313333333,1.11416667027778,NA,32.5131605277778,0.0793090276388889,0.199309027638889,0.278618055277778,0
2022-06-17 14:00:00,87.6963405,1.33120369444444,NA,33.0654163388889,0.128974537019444,0.248974537019444,0.377949074038889,0
2022-06-17 15:00:00,88.8156985454546,1.44075757272727,NA,33.8633422424242,0.0787747983445455,0.198774798344545,0.277549596689091,0
2022-06-17 16:00:00,93.8383534693878,1.43400106410256,NA,32.7731063525641,0.00632526714230769,0.126325267142308,0.132650534284615,0
2022-06-17 17:00:00,99.5511816666667,1.371666675,NA,30.5186295222222,-0.00259736125555555,0.117402638744444,0.114805277488889,0
2022-06-17 18:00:00,105.112551666667,1.39502314444444,NA,31.5883040555556,0.0217245369794444,0.141724536979444,0.163449073958889,0
2022-06-17 19:00:00,107.252451666667,1.45462963333333,NA,32.1633819722222,-0.0179083335277778,0.102091666472222,0.0841833329444444,0
