"date","co"
2022-05-23 00:00:00,102.410534336135
2022-05-23 00:01:00,102.825216752069
2022-05-23 00:02:00,103.10330909837
2022-05-23 00:03:00,103.110192758274
2022-05-23 00:04:00,102.860731999692
2022-05-23 00:05:00,102.819321460938
2022-05-23 00:06:00,101.860251256797
2022-05-23 00:07:00,102.835624309883
2022-05-23 00:08:00,102.252713089679
2022-05-23 00:09:00,102.764886977544
2022-05-23 00:10:00,103.029344330997
2022-05-23 00:11:00,102.689695484201
2022-05-23 00:12:00,103.101667650396
2022-05-23 00:13:00,102.800146437132
2022-05-23 00:14:00,102.847786026712
2022-05-23 00:15:00,102.441086279438
2022-05-23 00:16:00,103.407350688627
2022-05-23 00:17:00,103.310247836769
2022-05-23 00:18:00,103.686071872261
2022-05-23 00:19:00,103.458275954192
2022-05-23 00:20:00,103.295515164879
2022-05-23 00:21:00,103.597628832212
2022-05-23 00:22:00,103.236683295281
2022-05-23 00:23:00,103.408426554522
2022-05-23 00:24:00,103.636602507269
2022-05-23 00:25:00,104.125522997054
2022-05-23 00:26:00,104.151383127718
2022-05-23 00:27:00,103.731023832345
2022-05-23 00:28:00,104.212517402118
2022-05-23 00:29:00,104.195795527984
2022-05-23 00:30:00,104.797409227675
2022-05-23 00:31:00,104.872317151828
2022-05-23 00:32:00,104.363472208696
2022-05-23 00:33:00,105.528616135177
2022-05-23 00:34:00,104.240361982905
2022-05-23 00:35:00,105.510216061819
2022-05-23 00:36:00,105.210770104534
2022-05-23 00:37:00,105.066732069657
2022-05-23 00:38:00,104.902820986317
2022-05-23 00:39:00,105.212867655892
2022-05-23 00:40:00,105.211866488734
2022-05-23 00:41:00,105.931549356682
2022-05-23 00:42:00,105.636669442297
2022-05-23 00:43:00,105.636894499409
2022-05-23 00:44:00,104.932274816517
2022-05-23 00:45:00,104.983776522647
2022-05-23 00:46:00,105.904497243007
2022-05-23 00:47:00,105.901030044579
2022-05-23 00:48:00,105.247171706959
2022-05-23 00:49:00,105.382195681071
2022-05-23 00:50:00,105.884626406545
2022-05-23 00:51:00,105.435118690049
2022-05-23 00:52:00,105.600102814083
2022-05-23 00:53:00,105.504152953456
2022-05-23 00:54:00,105.235840723402
2022-05-23 00:55:00,105.780179055401
2022-05-23 00:56:00,105.930062812171
2022-05-23 00:57:00,106.036004374643
2022-05-23 00:58:00,106.151071015478
2022-05-23 00:59:00,106.774669813193
2022-05-23 01:00:00,107.02278024917
2022-05-23 01:01:00,105.908692166342
2022-05-23 01:02:00,106.257481865486
2022-05-23 01:03:00,106.257034301109
2022-05-23 01:04:00,106.588426327201
2022-05-23 01:05:00,107.254392303446
2022-05-23 01:06:00,106.781931809905
2022-05-23 01:07:00,106.137917325723
2022-05-23 01:08:00,106.5892047408
2022-05-23 01:09:00,106.538943596651
2022-05-23 01:10:00,106.57561586748
2022-05-23 01:11:00,107.391479121255
2022-05-23 01:12:00,106.777035701183
2022-05-23 01:13:00,107.118775767009
2022-05-23 01:14:00,106.533126657548
2022-05-23 01:15:00,107.346431304878
2022-05-23 01:16:00,106.763674993986
2022-05-23 01:17:00,107.455942696845
2022-05-23 01:18:00,107.470058970808
2022-05-23 01:19:00,107.705699032709
2022-05-23 01:20:00,107.027663912062
2022-05-23 01:21:00,107.489719650033
2022-05-23 01:22:00,107.880828853198
2022-05-23 01:23:00,107.633838914847
2022-05-23 01:24:00,107.008552651914
2022-05-23 01:25:00,107.155426358556
2022-05-23 01:26:00,108.055984263086
2022-05-23 01:27:00,107.412048097406
2022-05-23 01:28:00,108.02959828784
2022-05-23 01:29:00,107.765763205875
2022-05-23 01:30:00,107.018450306849
2022-05-23 01:31:00,108.253115957403
2022-05-23 01:32:00,107.493000653975
2022-05-23 01:33:00,107.166940101692
2022-05-23 01:34:00,107.416793766661
2022-05-23 01:35:00,107.713699299163
2022-05-23 01:36:00,107.837023366911
2022-05-23 01:37:00,107.791048692397
2022-05-23 01:38:00,108.071799913224
2022-05-23 01:39:00,108.128265772603
2022-05-23 01:40:00,109.007469279425
2022-05-23 01:41:00,108.15526004805
2022-05-23 01:42:00,108.537135464197
2022-05-23 01:43:00,108.247632195844
2022-05-23 01:44:00,107.935953300364
2022-05-23 01:45:00,108.219002332812
2022-05-23 01:46:00,109.176072383272
2022-05-23 01:47:00,109.26259319466
2022-05-23 01:48:00,108.359806036106
2022-05-23 01:49:00,108.59310973831
2022-05-23 01:50:00,108.694523103566
2022-05-23 01:51:00,108.353441355852
2022-05-23 01:52:00,109.146139731017
2022-05-23 01:53:00,108.770883851207
2022-05-23 01:54:00,109.574455757443
2022-05-23 01:55:00,NA
2022-05-23 01:56:00,NA
2022-05-23 01:57:00,NA
2022-05-23 01:58:00,NA
